+-----------------------+--------------------------------------------------------+---------------------------------+-----+
| Mod name              | Registry name                                          | Entity class name               |  ID |
+-----------------------+--------------------------------------------------------+---------------------------------+-----+
| Actually Additions    | actuallyadditions:worm                                 | EntityWorm                      |   0 |
| Admin Weapons         | adminweapons:admingunbullet                            | EntityAdminGunBullet            | 850 |
| Admin Weapons         | adminweapons:adminrocketlauncherbullet                 | EntityAdminRocketLauncherBullet | 859 |
| Admin Weapons         | adminweapons:attractivedynamite                        | EntityAttractiveDynamite        | 860 |
| Admin Weapons         | adminweapons:firedynamite                              | EntityFireDynamite              | 853 |
| Admin Weapons         | adminweapons:glassbomb                                 | EntityGlassBomb                 | 857 |
| Admin Weapons         | adminweapons:glasslauncher                             | EntityGlassLauncher             | 856 |
| Admin Weapons         | adminweapons:healingdynamite                           | EntityHealingDynamite           | 854 |
| Admin Weapons         | adminweapons:highjumpdynamite                          | EntityHighjumpDynamite          | 862 |
| Admin Weapons         | adminweapons:kickstaff                                 | EntityKickStaff                 | 858 |
| Admin Weapons         | adminweapons:lightningstaffprojectile                  | EntityLightningStaffProjectile  | 851 |
| Admin Weapons         | adminweapons:nucleardynamite                           | EntityNuclearDynamite           | 855 |
| Admin Weapons         | adminweapons:poisonousdynamite                         | EntityPoisonousDynamite         | 852 |
| Admin Weapons         | adminweapons:repulsivedynamite                         | EntityRepulsiveDynamite         | 861 |
| Admin Weapons         | adminweapons:tpswordprojectile                         | EntityTeleporterSwordProjectile | 863 |
| Advanced Rocketry     | advancedrocketry:arabducteditem                        | EntityItemAbducted              |   4 |
| Advanced Rocketry     | advancedrocketry:arplanetuibutton                      | EntityUIButton                  |   6 |
| Advanced Rocketry     | advancedrocketry:arplanetuiitem                        | EntityUIPlanet                  |   5 |
| Advanced Rocketry     | advancedrocketry:arspaceelevatorcapsule                | EntityElevatorCapsule           |   8 |
| Advanced Rocketry     | advancedrocketry:arstaruibutton                        | EntityUIStar                    |   7 |
| Advanced Rocketry     | advancedrocketry:deployedrocket                        | EntityStationDeployedRocket     |   3 |
