+----------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------+
| Name                       | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                              |
+----------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------+
| aerotheum                  |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum                  |
| alubrass                   |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass                         |
| aluminum                   |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum                         |
| alumite                    |    2000 |         890 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_alumite                     |
| ardite                     |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                           |
| base_essence               |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_base_essence           |
| betterquesting.placeholder |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| biodiesel                  |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel                |
| blood                      |    1000 |         420 |      1000 |          0 | COMMON   |     false | tconstruct:blood                                   |
| blueslime                  |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                               |
| boron10                    |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron10                         |
| boron11                    |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron11                         |
| brass                      |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                            |
| brine                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| bronze                     |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                           |
| canolaoil                  |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:block_canola_oil                 |
| clay                       |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                             |
| coal                       |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                                  |
| cobalt                     |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt                           |
| concrete                   |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete                 |
| constantan                 |    2000 |         518 |     10000 |          0 | COMMON   |     false | immersiveengineering:molten_constantan             |
| copper                     |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                           |
| creosote                   |    1000 |         300 |      2000 |          0 | COMMON   |     false | charcoal_pit:block_fluid_creosote                  |
| crude_oil                  |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil                  |
| cryotheum                  |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum                  |
| crystaloil                 |    1000 |         300 |      1000 |          0 | RARE     |     false | actuallyadditions:block_crystal_oil                |
| deuterium                  |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_deuterium                       |
| diesel                     |     789 |         300 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel                    |
| dirt                       |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                             |
| electrum                   |    2000 |         500 |     10000 |         10 | EPIC     |     false | tconstruct:molten_electrum                         |
| elementium                 |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_elementium                  |
